SubscriptionName,SubscriptionGuid,Date,ResourceGuid,ServiceName,ServiceType,ServiceRegion,ServiceResource,Quantity,Cost
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","9/19/2020","{0B248445-AA24-4FE8-A794-A174929327BD}","Storage","Tiered Block Blob","US East","All Other Operations","0.0007","0.0000028"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","9/19/2020","{0FC067A1-65D2-46DA-B24B-7A9CBE2C69BD}","Bandwidth","All","All","Data Transfer Out - Free","2E-06","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","9/19/2020","{32C3EBEC-1646-49E3-8127-2CAFBD3A04D8}","Bandwidth","All","Zone 1","Data Transfer In","4E-06","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","9/19/2020","{7B5C8556-24E2-42BC-8F46-DA45AC53AEE4}","Storage","Tiered Block Blob","US East","Hot GRS Write Operations","0.0005","0.00005"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","9/19/2020","{A4D4F647-F54E-400B-A11A-DCF256AFA091}","Storage","Bandwidth","US East","Geo-Replication v2 Data transfer","1E-06","0.00000002"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","9/20/2020","{0B248445-AA24-4FE8-A794-A174929327BD}","Storage","Tiered Block Blob","US East","All Other Operations","0.0058","0.0000232"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","9/20/2020","{0FC067A1-65D2-46DA-B24B-7A9CBE2C69BD}","Bandwidth","All","All","Data Transfer Out - Free","0.000158","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","9/20/2020","{12DA282F-7E96-49E2-983A-9A65DA2A4866}","Storage","Tables","All","Read Operations","0.0012","0.000000432"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","9/20/2020","{32C3EBEC-1646-49E3-8127-2CAFBD3A04D8}","Bandwidth","All","All","Data Transfer In","0.000828","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","9/20/2020","{4082FA20-19D0-4388-B91E-A8150BC6AD4D}","Storage","Bandwidth","US East","Geo-Replication Data transfer","0.001638","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","9/20/2020","{6207404D-3389-4D20-9087-CC078DDC3FD9}","Storage","Files","All","Read Operations - Free","0.0002","0"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","9/20/2020","{6357FB28-1FC6-4000-B185-83B0DFBE9045}","Azure App Service","Standard Plan - Linux","US South Central","S1","6.607208","0.52857664"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","9/20/2020","{6C76DAF0-AEB1-4238-B8B4-18820C91EEEF}","Storage","Tables","All","RA-GRS Data Stored","1E-06","0.000000075"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","9/20/2020","{7B5C8556-24E2-42BC-8F46-DA45AC53AEE4}","Storage","Tiered Block Blob","US East","Hot GRS Write Operations","0.0046","0.00046"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","9/20/2020","{984C39D8-2499-4233-8A97-FB002A809F8F}","Container Registry","All","All","Standard Registry Unit","0.277444","0.1849441704"
"Azure for Students","{8744A7C5-D753-47DD-A39F-64959D577DB3}","9/20/2020","{A4D4F647-F54E-400B-A11A-DCF256AFA091}","Storage","Bandwidth","US East","Geo-Replication v2 Data transfer","1.4E-05","0.00000028"
